spec_id,base_year,start_month,window_weeks,lag_years,outcome_3,n,share
y2021_m06_w20_lag1y,2021,6,20,1,Decline,7403,0.21768407433545048
y2021_m06_w30_lag1y,2021,6,30,1,Growth,6528,0.19257773319959878
y2021_m06_w30_lag1y,2021,6,30,1,Stable,19812,0.5844592601333412
y2021_m06_w30_lag1y,2021,6,30,1,Decline,7558,0.22296300666706
y2021_m06_w04_lag2y,2021,6,4,2,Growth,5735,0.1919729530695588
y2021_m06_w04_lag2y,2021,6,4,2,Stable,19134,0.6404900582446275
y2021_m06_w04_lag2y,2021,6,4,2,Decline,5005,0.16753698868581376
y2021_m06_w08_lag2y,2021,6,8,2,Growth,4024,0.13751153333561153
y2021_m06_w08_lag2y,2021,6,8,2,Stable,18446,0.6303523220449031
y2021_m06_w08_lag2y,2021,6,8,2,Decline,6793,0.23213614461948537
y2021_m06_w12_lag2y,2021,6,12,2,Growth,2627,0.09069566718453306
y2021_m06_w12_lag2y,2021,6,12,2,Stable,17797,0.6144312100811324
y2021_m06_w12_lag2y,2021,6,12,2,Decline,8541,0.2948731227343345
y2021_m07_w04_lag1y,2021,7,4,1,Growth,3816,0.11130556527826391
y2021_m07_w04_lag1y,2021,7,4,1,Stable,23782,0.6936763504841909
y2021_m07_w04_lag1y,2021,7,4,1,Decline,6686,0.19501808423754521
y2021_m07_w08_lag1y,2021,7,8,1,Growth,3619,0.10696973279735161
y2021_m07_w08_lag1y,2021,7,8,1,Stable,21310,0.629877039489241
y2021_m07_w08_lag1y,2021,7,8,1,Decline,8903,0.26315322771340743
y2021_m07_w12_lag1y,2021,7,12,1,Growth,5048,0.14925637917270335
y2021_m07_w12_lag1y,2021,7,12,1,Stable,20260,0.5990361018302238
y2021_m07_w12_lag1y,2021,7,12,1,Decline,8513,0.25170751899707283
y2021_m07_w16_lag1y,2021,7,16,1,Growth,7304,0.21599881709300606
y2021_m07_w16_lag1y,2021,7,16,1,Stable,20182,0.596835723791217
y2021_m07_w16_lag1y,2021,7,16,1,Decline,6329,0.18716545911577703
y2021_m07_w20_lag1y,2021,7,20,1,Growth,8141,0.23841040208510264
y2021_m07_w20_lag1y,2021,7,20,1,Stable,20132,0.5895686297478548
y2021_m07_w20_lag1y,2021,7,20,1,Decline,5874,0.1720209681670425
y2021_m07_w30_lag1y,2021,7,30,1,Growth,4316,0.1276167947959787
y2021_m07_w30_lag1y,2021,7,30,1,Stable,15489,0.45798344175044353
y2021_m07_w30_lag1y,2021,7,30,1,Decline,14015,0.41439976345357776
y2021_m07_w04_lag2y,2021,7,4,2,Growth,3861,0.13102792954830828
y2021_m07_w04_lag2y,2021,7,4,2,Stable,20578,0.6983405165099942
y2021_m07_w04_lag2y,2021,7,4,2,Decline,5028,0.1706315539416975
y2021_m07_w08_lag2y,2021,7,8,2,Growth,3264,0.11267216679899203
y2021_m07_w08_lag2y,2021,7,8,2,Stable,18691,0.6452069453553799
y2021_m07_w08_lag2y,2021,7,8,2,Decline,7014,0.24212088784562807
y2021_m08_w04_lag1y,2021,8,4,1,Growth,7456,0.21820310213637695
y2021_m08_w04_lag1y,2021,8,4,1,Stable,22159,0.648492829967808
y2021_m08_w04_lag1y,2021,8,4,1,Decline,4555,0.13330406789581503
y2021_m08_w08_lag1y,2021,8,8,1,Growth,7737,0.227184637068358
y2021_m08_w08_lag1y,2021,8,8,1,Stable,20730,0.6087033121916843
y2021_m08_w08_lag1y,2021,8,8,1,Decline,5589,0.16411205073995772
y2021_m08_w12_lag1y,2021,8,12,1,Growth,9931,0.2920281118593231
y2021_m08_w12_lag1y,2021,8,12,1,Stable,19709,0.5795571499985297
y2021_m08_w12_lag1y,2021,8,12,1,Decline,4367,0.1284147381421472
y2021_m08_w16_lag1y,2021,8,16,1,Growth,10421,0.30625679607370615
y2021_m08_w16_lag1y,2021,8,16,1,Stable,18974,0.557616010814941
y2021_m08_w16_lag1y,2021,8,16,1,Decline,4632,0.13612719311135274
y2021_m08_w20_lag1y,2021,8,20,1,Growth,9106,0.26522587597937847
y2021_m08_w20_lag1y,2021,8,20,1,Stable,19718,0.5743162554976262
y2021_m08_w20_lag1y,2021,8,20,1,Decline,5509,0.16045786852299537
y2021_m08_w30_lag1y,2021,8,30,1,Growth,4012,0.1187685020722321
y2021_m08_w30_lag1y,2021,8,30,1,Stable,17389,0.5147720544701007
y2021_m08_w30_lag1y,2021,8,30,1,Decline,12379,0.36645944345766723
y2021_m08_w04_lag2y,2021,8,4,2,Growth,1622,0.05557078251336166
y2021_m08_w04_lag2y,2021,8,4,2,Stable,8891,0.30461148417157735
y2021_m08_w04_lag2y,2021,8,4,2,Decline,18675,0.639817733315061
y2021_m09_w04_lag1y,2021,9,4,1,Growth,15733,0.4521236852692683
y2021_m09_w04_lag1y,2021,9,4,1,Stable,15878,0.45629059141329964
y2021_m09_w04_lag1y,2021,9,4,1,Decline,3187,0.09158572331743203
y2021_m09_w08_lag1y,2021,9,8,1,Growth,12956,0.3751013317892299
y2021_m09_w08_lag1y,2021,9,8,1,Stable,17565,0.5085408222350898
y2021_m09_w08_lag1y,2021,9,8,1,Decline,4019,0.11635784597568037
y2021_m09_w12_lag1y,2021,9,12,1,Growth,10412,0.3028416858148396
y2021_m09_w12_lag1y,2021,9,12,1,Stable,18947,0.5510892644193014
y2021_m09_w12_lag1y,2021,9,12,1,Decline,5022,0.14606904976585905
y2021_m09_w16_lag1y,2021,9,16,1,Growth,8808,0.25746857643963755
y2021_m09_w16_lag1y,2021,9,16,1,Stable,18787,0.5491669102601578
y2021_m09_w16_lag1y,2021,9,16,1,Decline,6615,0.19336451330020463
y2021_m09_w20_lag1y,2021,9,20,1,Growth,4097,0.11972180824639841
y2021_m09_w20_lag1y,2021,9,20,1,Stable,13514,0.3949037140936852
y2021_m09_w20_lag1y,2021,9,20,1,Decline,16610,0.4853744776599164
y2021_m09_w30_lag1y,2021,9,30,1,Growth,4584,0.13433754359229844
y2021_m09_w30_lag1y,2021,9,30,1,Stable,20815,0.6099991208275943
y2021_m09_w30_lag1y,2021,9,30,1,Decline,8724,0.25566333558010723
y2021_m10_w04_lag1y,2021,10,4,1,Growth,7546,0.21599496221662468
y2021_m10_w04_lag1y,2021,10,4,1,Stable,23015,0.6587760476299519
y2021_m10_w04_lag1y,2021,10,4,1,Decline,4375,0.1252289901534234
y2021_m10_w08_lag1y,2021,10,8,1,Growth,5771,0.1664551485434093
y2021_m10_w08_lag1y,2021,10,8,1,Stable,23521,0.6784251514277473
y2021_m10_w08_lag1y,2021,10,8,1,Decline,5378,0.15511970002884337
y2021_m10_w12_lag1y,2021,10,12,1,Growth,6311,0.1831239300118968
y2021_m10_w12_lag1y,2021,10,12,1,Stable,20186,0.5857296230740214
y2021_m10_w12_lag1y,2021,10,12,1,Decline,7966,0.23114644691408176
y2021_m10_w16_lag1y,2021,10,16,1,Growth,2652,0.07749627421758569
y2021_m10_w16_lag1y,2021,10,16,1,Stable,11816,0.3452850588819731
y2021_m10_w16_lag1y,2021,10,16,1,Decline,19753,0.5772186669004412
y2021_m10_w20_lag1y,2021,10,20,1,Growth,2159,0.06259785445056538
y2021_m10_w20_lag1y,2021,10,20,1,Stable,14901,0.4320382719628878
y2021_m10_w20_lag1y,2021,10,20,1,Decline,17430,0.5053638735865468
y2021_m10_w30_lag1y,2021,10,30,1,Growth,6047,0.17618950496780397
y2021_m10_w30_lag1y,2021,10,30,1,Stable,22369,0.6517583986480581
y2021_m10_w30_lag1y,2021,10,30,1,Decline,5905,0.172052096384138
y2021_m11_w04_lag1y,2021,11,4,1,Growth,5177,0.14577760256807365
y2021_m11_w04_lag1y,2021,11,4,1,Stable,23304,0.6562104018246839
y2021_m11_w04_lag1y,2021,11,4,1,Decline,7032,0.19801199560724242
y2021_m11_w08_lag1y,2021,11,8,1,Growth,5904,0.1679419712700896
y2021_m11_w08_lag1y,2021,11,8,1,Stable,19672,0.5595790072535912
y2021_m11_w08_lag1y,2021,11,8,1,Decline,9579,0.27247902147631914
y2021_m11_w12_lag1y,2021,11,12,1,Growth,2057,0.05972532737144682
y2021_m11_w12_lag1y,2021,11,12,1,Stable,11958,0.34720246218170203
y2021_m11_w12_lag1y,2021,11,12,1,Decline,20426,0.5930722104468511
y2021_m11_w16_lag1y,2021,11,16,1,Growth,3146,0.09179772985906451
y2021_m11_w16_lag1y,2021,11,16,1,Stable,19811,0.5780689212453678
y2021_m11_w16_lag1y,2021,11,16,1,Decline,11314,0.33013334889556767
y2021_m11_w20_lag1y,2021,11,20,1,Growth,7147,0.20687159893481533
y2021_m11_w20_lag1y,2021,11,20,1,Stable,21425,0.6201516730346185
y2021_m11_w20_lag1y,2021,11,20,1,Decline,5976,0.17297672803056616
y2021_m11_w30_lag1y,2021,11,30,1,Growth,12067,0.35334250827208574
y2021_m11_w30_lag1y,2021,11,30,1,Stable,17566,0.5143626833767679
y2021_m11_w30_lag1y,2021,11,30,1,Decline,4518,0.13229480835114638
y2021_m12_w04_lag1y,2021,12,4,1,Growth,4933,0.1393109291160689
y2021_m12_w04_lag1y,2021,12,4,1,Stable,21819,0.6161818695283818
y2021_m12_w04_lag1y,2021,12,4,1,Decline,8658,0.2445072013555493
y2021_m12_w08_lag1y,2021,12,8,1,Growth,2836,0.0819440030049987
y2021_m12_w08_lag1y,2021,12,8,1,Stable,16083,0.46470571238695135
y2021_m12_w08_lag1y,2021,12,8,1,Decline,15690,0.45335028460804994
y2021_m12_w12_lag1y,2021,12,12,1,Growth,11016,0.32050274941084056
y2021_m12_w12_lag1y,2021,12,12,1,Stable,17342,0.5045532571062814
y2021_m12_w12_lag1y,2021,12,12,1,Decline,6013,0.174943993482878
y2021_m12_w16_lag1y,2021,12,16,1,Growth,16405,0.4806340091409821
y2021_m12_w16_lag1y,2021,12,16,1,Stable,13893,0.40703738427282316
y2021_m12_w16_lag1y,2021,12,16,1,Decline,3834,0.11232860658619477
y2021_m12_w20_lag1y,2021,12,20,1,Growth,17304,0.503111007733907
y2021_m12_w20_lag1y,2021,12,20,1,Stable,13743,0.39957550735593417
y2021_m12_w20_lag1y,2021,12,20,1,Decline,3347,0.09731348491015875
y2021_m12_w30_lag1y,2021,12,30,1,Growth,14268,0.4193633718366987
y2021_m12_w30_lag1y,2021,12,30,1,Stable,15550,0.4570437645122417
y2021_m12_w30_lag1y,2021,12,30,1,Decline,4205,0.12359286365105958
y2022_m01_w04_lag1y,2022,1,4,1,Growth,20429,0.5928666782750015
y2022_m01_w04_lag1y,2022,1,4,1,Stable,11713,0.3399210633234662
y2022_m01_w04_lag1y,2022,1,4,1,Decline,2316,0.0672122584015323
y2022_m01_w08_lag1y,2022,1,8,1,Growth,21094,0.6150930191870299
y2022_m01_w08_lag1y,2022,1,8,1,Stable,11910,0.34729107132442993
y2022_m01_w08_lag1y,2022,1,8,1,Decline,1290,0.03761590948854027
y2022_m01_w12_lag1y,2022,1,12,1,Growth,22729,0.6660903203118131
y2022_m01_w12_lag1y,2022,1,12,1,Stable,10094,0.2958122087741406
y2022_m01_w12_lag1y,2022,1,12,1,Decline,1300,0.03809747091404624
y2022_m01_w16_lag1y,2022,1,16,1,Growth,22601,0.66461800858672
y2022_m01_w16_lag1y,2022,1,16,1,Stable,9931,0.2920366994059872
y2022_m01_w16_lag1y,2022,1,16,1,Decline,1474,0.043345292007292834
y2022_m01_w20_lag1y,2022,1,20,1,Growth,21117,0.616410765368673
y2022_m01_w20_lag1y,2022,1,20,1,Stable,11073,0.3232237725494775
y2022_m01_w20_lag1y,2022,1,20,1,Decline,2068,0.060365462081849494
y2022_m01_w30_lag1y,2022,1,30,1,Growth,15604,0.46039005104298825
y2022_m01_w30_lag1y,2022,1,30,1,Stable,14856,0.43832059717345767
y2022_m01_w30_lag1y,2022,1,30,1,Decline,3433,0.10128935178355412
y2022_m02_w04_lag1y,2022,2,4,1,Growth,5872,0.16844037749921115
y2022_m02_w04_lag1y,2022,2,4,1,Stable,23538,0.6751957775164223
y2022_m02_w04_lag1y,2022,2,4,1,Decline,5451,0.15636384498436648
y2022_m02_w08_lag1y,2022,2,8,1,Growth,7677,0.222553993332367
y2022_m02_w08_lag1y,2022,2,8,1,Stable,22146,0.6420060878388172
y2022_m02_w08_lag1y,2022,2,8,1,Decline,4672,0.13543991882881576
y2022_m02_w12_lag1y,2022,2,12,1,Growth,7185,0.2091581276199348
y2022_m02_w12_lag1y,2022,2,12,1,Stable,21500,0.625873311597578
y2022_m02_w12_lag1y,2022,2,12,1,Decline,5667,0.1649685607824872
y2022_m02_w16_lag1y,2022,2,16,1,Growth,6439,0.18824182891890312
y2022_m02_w16_lag1y,2022,2,16,1,Stable,20993,0.6137227387008127
y2022_m02_w16_lag1y,2022,2,16,1,Decline,6774,0.19803543238028415
y2022_m02_w20_lag1y,2022,2,20,1,Growth,5805,0.16891203771059446
y2022_m02_w20_lag1y,2022,2,20,1,Stable,21017,0.611545959787005
y2022_m02_w20_lag1y,2022,2,20,1,Decline,7545,0.21954200250240055
y2022_m02_w30_lag1y,2022,2,30,1,Growth,2599,0.07665083905978116
y2022_m02_w30_lag1y,2022,2,30,1,Stable,16202,0.4778364349544342
y2022_m02_w30_lag1y,2022,2,30,1,Decline,15106,0.4455127259857846
