combo_id,start_year,start_month,window_months,target_offset,model,macro_f1_mean,macro_f1_std,recall_Decline_mean,recall_Decline_std,recall_Stable_mean,recall_Stable_std,recall_Growth_mean,recall_Growth_std,f1_Decline_mean,f1_Decline_std,f1_Stable_mean,f1_Stable_std,f1_Growth_mean,f1_Growth_std,precision_Decline_mean,precision_Decline_std,precision_Stable_mean,precision_Stable_std,precision_Growth_mean,precision_Growth_std,n_stores
sy2021_sm04_w1m_off1,2021,4,1,1,rf,0.4715887567914131,0.004231038848639361,0.38794587945879455,0.017386301091350184,0.6005599131011073,0.005377503456504867,0.4769078548377467,0.00878294879947806,0.29222320898627446,0.015952527465060182,0.6494630628985472,0.004838380783295393,0.47307999848941773,0.006962959372966,0.23444863990058842,0.014557732924938673,0.7071123223502572,0.009004245279813994,0.46935724179747196,0.0068391942907960355,34280
sy2021_sm04_w1m_off2,2021,4,1,2,lgb,0.43707614628411795,0.005552515143366929,0.33700917094323457,0.013360816594036548,0.6558969632420809,0.00711878450620432,0.33673250118929204,0.008648203476430904,0.301658483374092,0.00958364827232417,0.700138927944054,0.004271558586399042,0.30943102753420787,0.006626840523656162,0.2730579613747776,0.007302450417953892,0.7508347224193356,0.0043984074189893155,0.2862798235072119,0.006618125787513768,29813
sy2021_sm04_w1m_off2,2021,4,1,2,rf,0.43757478366291613,0.005821244394517182,0.3777820130613815,0.01742136747541208,0.6507289674987564,0.003533603257702547,0.3086161505859966,0.017612125779153637,0.32082747652933163,0.011921215807581556,0.6996084934638179,0.0015836114313777432,0.29228838099559884,0.011776098205515654,0.2788784315062512,0.009658996410587798,0.7564506604728195,0.002925459082328344,0.2777452608261212,0.0078596361615474,29813
sy2021_sm04_w2m_off1,2021,4,2,1,lgb,0.48079930578237146,0.009232122623748543,0.3658097686375321,0.017163113504165016,0.5979791415144029,0.008150604395782591,0.5282012838710325,0.017422900249998676,0.2859577109063058,0.014262865275694737,0.64996612398831,0.007433335398059837,0.5064740824524987,0.015553006090744953,0.23473571256875075,0.01231684644712865,0.711879896903202,0.007527174181882566,0.4865317744403647,0.015216618807183876,34960
sy2021_sm04_w2m_off1,2021,4,2,1,rf,0.47696218459650136,0.00868746463244667,0.4149100257069408,0.01909508384170064,0.5878203466919885,0.004236583841206147,0.49648421249246494,0.010161775474783091,0.3001634666644015,0.01156929234770416,0.6434137929552048,0.004839288237280316,0.48730929416989754,0.011307720229938279,0.23515806322662075,0.00830284860439975,0.7106397087562919,0.006901966835645269,0.4784940564259653,0.012876189937289336,34960
sy2021_sm04_w2m_off2,2021,4,2,2,lgb,0.45439981869915114,0.007597552796887711,0.3604693638431319,0.016091051137684644,0.6264830508474576,0.012194575055471979,0.4175795211050781,0.01771513954165078,0.34015876397534905,0.010348234599432637,0.6764403051457177,0.00808624943908365,0.34660038697638673,0.013342386719592455,0.32216942296124806,0.008038132112638539,0.7351647651433669,0.0051822699173695,0.2962969272403739,0.011339134379798168,30379
sy2021_sm04_w2m_off2,2021,4,2,2,rf,0.4449957216417385,0.009176005543539987,0.31332609644588416,0.01590351106390016,0.6232521186440678,0.010336195985315606,0.44716615698267076,0.017068864878106407,0.30744228451788824,0.011761502311317838,0.6740854823035909,0.007453198801766472,0.35345939810373633,0.012608262417109932,0.30199122612352436,0.010795667634442093,0.7340180832305601,0.00576970228049339,0.2923149314357961,0.011424632605285366,30379
sy2021_sm04_w3m_off1,2021,4,3,1,lgb,0.48571550302608557,0.005690386068476451,0.43460531753685083,0.009591105614437594,0.5764967158939223,0.011131412423402131,0.5165417919210521,0.016180389121757646,0.3547811430841964,0.00756149478919732,0.6492752180864295,0.00814875329627127,0.4530901479076306,0.011639212945297172,0.2997509683259877,0.0068387490724366295,0.7432077496445848,0.0069387984975498905,0.40357822372630936,0.009741240519076202,35431
sy2021_sm04_w3m_off1,2021,4,3,1,rf,0.4874571835613278,0.009474902050626595,0.45601396961088375,0.015620058853402041,0.5753298766778873,0.006208339008286701,0.5081584477332297,0.01818271804191221,0.35964003404788947,0.011055886977031764,0.651208674991893,0.006235040087510526,0.45152284164420076,0.014459780360888016,0.29693728242239226,0.009216985284158508,0.7502453671195487,0.011399254447327116,0.4062691535503033,0.0121633526025746,35431
sy2021_sm04_w3m_off2,2021,4,3,2,lgb,0.4687885388509752,0.003946311597103183,0.40486960650959086,0.011078881595453588,0.6518489145389514,0.009072823005250382,0.4188157715019011,0.018739408039638875,0.3543151367425523,0.005518439828786349,0.711843491918656,0.006697929780597148,0.34020698789171727,0.00662657436090903,0.31507258429730334,0.0044123070674437215,0.7840675846692934,0.006498272350118823,0.28668811030825647,0.005236441193652995,30732
