model,fold,macro_f1,precision_Decline,precision_Stable,precision_Growth,recall_Decline,recall_Stable,recall_Growth,f1_Decline,f1_Stable,f1_Growth,combo_id,start_year,start_month,window_months,target_offset,n_stores
rf,1,0.4977885100053723,0.23076923076923078,0.5223319228960978,0.719656283566058,0.42034548944337813,0.45757825370675453,0.695923136847572,0.2979591836734694,0.48781558726673985,0.7075907590759076,sy2021_sm01_w3m_off1,2021,1,3,1,33998
rf,2,0.49603185313884285,0.2401656314699793,0.5247279920870426,0.7027806925498427,0.44529750479846447,0.4369851729818781,0.6956634640353155,0.3120376597175521,0.47685393258426967,0.699203967114707,sy2021_sm01_w3m_off1,2021,1,3,1,33998
rf,3,0.4972542115753487,0.23422459893048128,0.5282101167315175,0.7103466386554622,0.42115384615384616,0.44709757101687936,0.7025974025974026,0.30103092783505153,0.4842809364548495,0.7064507704361452,sy2021_sm01_w3m_off1,2021,1,3,1,33998
rf,4,0.4934328051471549,0.23473684210526316,0.5093896713615024,0.7133638074751277,0.42802303262955854,0.4468698517298188,0.6890909090909091,0.30319510537049627,0.47608600263273365,0.7010173074382349,sy2021_sm01_w3m_off1,2021,1,3,1,33998
lgb,0,0.497483629932332,0.2240506329113924,0.5255632582322357,0.7244732576985413,0.3397312859884837,0.4995881383855025,0.6964424824720852,0.2700228832951945,0.5122466216216216,0.71018138488018,sy2021_sm01_w3m_off1,2021,1,3,1,33998
lgb,1,0.49886461310206,0.24572127139364303,0.5063884156729132,0.7193175564116676,0.3857965451055662,0.4897034596375618,0.6787847312386394,0.30022404779686335,0.4979061976549414,0.6984635938543754,sy2021_sm01_w3m_off1,2021,1,3,1,33998
lgb,2,0.5041078794679691,0.2444183313748531,0.5310630464795214,0.7145127118644068,0.39923224568138194,0.47528830313014825,0.7005972474681901,0.3032069970845481,0.5016300804173006,0.7074865609020585,sy2021_sm01_w3m_off1,2021,1,3,1,33998
lgb,3,0.5008351373922632,0.24283935242839352,0.5145969498910675,0.7219670359362335,0.375,0.4862083161794977,0.694025974025974,0.2947845804988662,0.5,0.7077208316779234,sy2021_sm01_w3m_off1,2021,1,3,1,33998
lgb,4,0.4964440816612925,0.2481012658227848,0.4997867803837953,0.7169759825327511,0.3761996161228407,0.4827018121911038,0.6823376623376624,0.2990083905415713,0.4910957469097004,0.6992281075326058,sy2021_sm01_w3m_off1,2021,1,3,1,33998
rf,0,0.5066221657952773,0.23442622950819672,0.5987347492092182,0.6506998444790046,0.45396825396825397,0.5084420567920184,0.6711581649021495,0.3091891891891892,0.5499066196306288,0.660770688566014,sy2021_sm01_w3m_off2,2021,1,3,2,30190
